uid,sx,sy,sz,pseudo_site,site_id
xaji0y6d,2.46,2.46,2.46,2.5x2.5x2.5,7
pbhsahxt,2.46,2.46,2.46,2.5x2.5x2.5,7
hv3a3zmf,2.46,2.46,2.46,2.5x2.5x2.5,7
8mdd4v30,2.46,2.46,2.46,2.5x2.5x2.5,7
t9nt3w5u,2.46,2.46,2.46,2.5x2.5x2.5,7
zbikcidk,2.46,2.46,2.46,2.5x2.5x2.5,7
wnnhj7xv,2.46,2.46,2.46,2.5x2.5x2.5,7
g0fn9xuy,2.46,2.46,2.46,2.5x2.5x2.5,7
41ibljh7,2.46,2.46,2.46,2.5x2.5x2.5,7
5lxo6qji,2.46,2.46,2.46,2.5x2.5x2.5,7
ujv6oh9s,2.46,2.46,2.46,2.5x2.5x2.5,7
dbdw2pcn,2.46,2.46,2.46,2.5x2.5x2.5,7
9t84azyt,2.46,2.46,2.46,2.5x2.5x2.5,7
jxepq85j,2.46,2.46,2.46,2.5x2.5x2.5,7
sg65kxvf,2.46,2.46,2.46,2.5x2.5x2.5,7
1t2tala7,2.46,2.46,2.46,2.5x2.5x2.5,7
53lc58dr,2.46,2.46,2.46,2.5x2.5x2.5,7
c11ertj5,2.46,2.46,2.46,2.5x2.5x2.5,7
9mx2x18h,3.9,3.9,3.9,4.0x4.0x4.0,13
afeyuhz1,3.9,3.9,3.9,4.0x4.0x4.0,13
gv0e38da,3.9,3.9,3.9,4.0x4.0x4.0,13
ly8ozcyw,3.9,3.9,3.9,4.0x4.0x4.0,13
d14ve92m,3.9,3.9,3.9,4.0x4.0x4.0,13
pnsm43d8,3.9,3.9,3.9,4.0x4.0x4.0,13
w3zp08j3,3.9,3.9,3.9,4.0x4.0x4.0,13
trp0j43d,3.9,3.9,3.9,4.0x4.0x4.0,13
5iqvnb4g,3.9,3.9,3.9,4.0x4.0x4.0,13
h2m5zja8,3.9,3.9,3.9,4.0x4.0x4.0,13
dzr1yxr2,3.9,3.9,3.9,4.0x4.0x4.0,13
dhylurtp,3.9,3.9,3.9,4.0x4.0x4.0,13
0lzjjege,3.9,3.9,3.9,4.0x4.0x4.0,13
t1ghr09s,3.9,3.9,3.9,4.0x4.0x4.0,13
kdgigatj,3.9,3.9,3.9,4.0x4.0x4.0,13
9tze5r5u,3.89,3.89,3.9,4.0x4.0x4.0,13
qpgb7r3o,1.47,1.47,1.5,1.5x1.5x1.5,0
cwbfuk9e,3.9,3.9,3.9,4.0x4.0x4.0,13
1v2isqp4,3.9,3.9,3.9,4.0x4.0x4.0,13
