feature_set,model,calibration,n_features,cv_type,n_folds,auc,logloss,brier,accuracy,f1,site_auc_mean,site_auc_std,site_logloss_mean,site_logloss_std,elapsed
SBR,LR,raw,92,site_aware,5,0.826551735396872,0.576956897512344,0.17333488279642326,0.7613803230543319,0.7744621790423317,0.8313947133640733,0.11838799666616533,0.7576855924292383,0.4612530287884072,1.113678216934204
SBR,LR,platt,92,site_aware,5,0.8027883893296763,0.5528992378902584,0.18332977958270924,0.7547723935389133,0.7761394101876675,0.8313947133640733,0.11838799666616533,0.6194350394847015,0.19462502071487467,1.113678216934204
SBR,LR,isotonic,92,site_aware,5,0.796185283137972,0.5705566787973066,0.1845134820213222,0.7474302496328928,0.7591036414565826,0.8054450267727014,0.11736443994701994,0.7611468371259968,0.41072133161507085,1.113678216934204
SBR,LR,temp,92,site_aware,5,0.8234303065922225,0.5529063590735722,0.18032601216620783,0.7613803230543319,0.7744621790423317,0.8313947133640733,0.11838799666616533,0.6069052683348743,0.2243601073605882,1.113678216934204
SBR,LR,gamma,92,site_aware,5,0.8262448166650341,0.5304350585384314,0.1717343727789388,0.7613803230543319,0.7744621790423317,0.8313947133640733,0.11838799666616533,0.6066233534180391,0.23377691631293857,1.113678216934204
SBR,Ridge,raw,92,site_aware,5,0.8428859067707143,0.558650111499722,0.1816222788214946,0.7745961820851689,0.7863604732080723,0.8489204540052706,0.100585931029882,0.6000086884699928,0.17970227572154218,0.3348197937011719
SBR,Ridge,platt,92,site_aware,5,0.8129841860667603,0.5964204797481738,0.20302217732973918,0.7481644640234949,0.783596214511041,0.8489204540052706,0.100585931029882,0.5954375472034517,0.1041406037325708,0.3348197937011719
SBR,Ridge,isotonic,92,site_aware,5,0.8078612553193806,0.5279473074956542,0.17371587131946092,0.7525697503671072,0.7494423791821562,0.8237193587527292,0.11315232948847369,0.6306923439763346,0.24602161012724041,0.3348197937011719
SBR,Ridge,temp,92,site_aware,5,0.8313057106474679,0.6057302131583506,0.20204000844516726,0.7745961820851689,0.7863604732080723,0.8489204540052706,0.100585931029882,0.5939214868438428,0.23291716476787253,0.3348197937011719
SBR,Ridge,gamma,92,site_aware,5,0.8294076033129809,0.5867442565394515,0.19417534098531272,0.7745961820851689,0.7863604732080723,0.8489204540052706,0.100585931029882,0.58511238715637,0.22718239590803505,0.3348197937011719
SBR,ET,raw,92,site_aware,5,0.8076642613815697,0.5589907856352094,0.18817731419353015,0.7165932452276065,0.7062404870624048,0.864211898987407,0.08645830320620601,0.5106746680563238,0.1074715992530892,13.983365058898926
SBR,ET,platt,92,site_aware,5,0.764279883762693,0.5914443674825436,0.20290212330501156,0.6864904552129222,0.6880934989043097,0.864211898987407,0.08645830320620601,0.552290374983597,0.12766754312036926,13.983365058898926
SBR,ET,isotonic,92,site_aware,5,0.7749697978907499,0.6365545129461121,0.19845368256706278,0.7276064610866373,0.7421820708825573,0.8560362070753035,0.09025279952529712,0.5431327338971503,0.21191670909287283,13.983365058898926
SBR,ET,temp,92,site_aware,5,0.807603312980921,0.5428177153327709,0.18331362038792642,0.7165932452276065,0.7062404870624048,0.864211898987407,0.08645830320620601,0.4816850941471971,0.13087527151862194,13.983365058898926
SBR,ET,gamma,92,site_aware,5,0.807603312980921,0.5428177167242877,0.18331362311953195,0.7165932452276065,0.7062404870624048,0.864211898987407,0.08645830320620601,0.48168512245902306,0.1308752667100491,13.983365058898926
SBR,XGB,raw,92,site_aware,5,0.8209967240234651,0.6055822977510343,0.18879697803969675,0.7474302496328928,0.7514450867052023,0.8620569075282646,0.07873288575620235,0.5634359112866146,0.24979597046005456,33.786534786224365
SBR,XGB,platt,92,site_aware,5,0.791983108586106,0.5559372991897535,0.18581696410024914,0.7393538913362702,0.7476901208244492,0.8620569075282646,0.07873288575620235,0.5286981176192509,0.1550866498760316,33.786534786224365
SBR,XGB,isotonic,92,site_aware,5,0.8054450865793799,0.5630220485103359,0.18060200094823453,0.7121879588839941,0.6893819334389857,0.8571925514822926,0.08396901849005245,0.5488427048140054,0.2362229558458469,33.786534786224365
