uid,hist_ent,hist_energy,hist_skew,hist_kurt,p10,p25,p50,p75,p90,p95,p97,p99,iqr,range,max,mean,std,cv,skew,kurt,blob_vol_95,blob_ncomp_95,blob_largest_95,blob_mean_sz_95,blob_com_x_95,blob_com_y_95,blob_com_z_95,blob_spread_x_95,blob_spread_y_95,blob_spread_z_95,blob_spread_95,blob_elong_95,blob_evmax_95,blob_compact_95,blob_vol_97,blob_ncomp_97,blob_largest_97,blob_mean_sz_97,blob_com_x_97,blob_com_y_97,blob_com_z_97,blob_spread_x_97,blob_spread_y_97,blob_spread_z_97,blob_spread_97,blob_elong_97,blob_evmax_97,blob_compact_97,blob_vol_99,blob_ncomp_99,blob_largest_99,blob_mean_sz_99,blob_com_x_99,blob_com_y_99,blob_com_z_99,blob_spread_x_99,blob_spread_y_99,blob_spread_z_99,blob_spread_99,blob_elong_99,blob_evmax_99,blob_compact_99,mip_x_max,mip_x_mean,mip_x_std,mip_x_ent,mip_x_skew,mip_y_max,mip_y_mean,mip_y_std,mip_y_ent,mip_y_skew,mip_z_max,mip_z_mean,mip_z_std,mip_z_ent,mip_z_skew,asym_xy,asym_xz,asym_yz,skew_profile_x,skew_profile_y,gc_x,ge_x,gent_x,gh_x,gd_x,gc_y,ge_y,gent_y,gh_y,gd_y,gc_z,ge_z,gent_z,gh_z,gd_z
xaji0y6d,2.626745086252532,0.0844654923229087,0.54375826328046,-1.433060904190739,-1.234667,-0.54747164,-0.05155143,0.5039966,0.8786633,1.2969459,1.9244156,3.6164818,1.0514683,5.2807064,3.7373354,-0.015802981,0.90685344,-57.384964,0.9352594017982483,2.75529146194458,5120,3,0.75390625,1706.6666666666667,16.3302734375,25.3044921875,29.2603515625,10.2984990905948,5.33865430799293,13.903967167733237,18.107474046388614,3.14663771600505,16.257521413467263,1.6243654822329872,3072,3,0.4996744791666667,1024.0,16.013020833333332,25.764973958333332,30.1806640625,10.337870924400535,4.273689766240857,13.813215614066396,17.774727144694108,3.83677028881363,16.24351670464545,1.7564322469972804,1024,3,0.6201171875,341.3333333333333,12.2626953125,26.3134765625,36.1845703125,8.407140691715021,3.014025486332719,6.962519370690731,11.324356062478667,3.169075670598162,9.493682466446689,2.0855397148633696,3.7373354,0.9449014,1.0310655,98.14515586178688,1.056827425956726,3.7373354,0.85700935,1.1770053,87.12229159093481,0.784695029258728,3.7373354,1.1206558,1.2824119,71.30498778811192,0.31717830896377563,0.22736388596432525,0.7845085836436458,0.6131680691505157,-0.7860350608825684,-0.555095374584198,1.8908862876254182,0.029577060099998883,4.046229922353891,0.702263361085439,0.7621237458193979,4.163003663003662,0.024285533986770247,4.44139226877795,0.6729977721632335,0.9459706959706959,0.3841269841269841,0.04470731502477534,3.5300457667499385,0.8365079365079364,0.33650793650793653
pbhsahxt,2.2684376144619818,0.12898187769799235,1.3136804058805274,0.11036818166137108,-1.8135722,-0.8455649,-0.12458688,0.374367,0.7812073,1.4636164,2.4722955,6.019911,1.2199318,8.253091,6.439519,-0.16304915,1.2634606,-7.7489557,1.9591765403747559,8.026430130004883,5120,3,0.9845703125,1706.6666666666667,11.89296875,22.9818359375,30.244140625,7.645072796352133,4.733716141081285,4.9495269703502585,10.264162108817336,1.7724907791102507,7.902488182065414,1.439820022496783,3072,1,1.0,3072.0,11.319661458333334,24.050455729166668,30.960286458333332,7.298287747962272,3.8143429358009038,3.3506623911710784,8.890509239833158,2.280786397355255,7.361842913161825,1.4941634241237869,1024,2,0.544921875,512.0,10.80078125,25.0556640625,30.7705078125,7.402976556065029,2.6907369946997783,2.3838382701803544,8.229630147380313,3.3906820322692433,7.4509830583636205,1.9068901303502666,6.439519,0.72452706,1.7109463,91.13297202846441,1.65574049949646,6.439519,0.8621569,2.103517,76.87259765165649,1.374067783355713,6.439519,1.3459494,2.0183256,74.98703902950962,1.4381214380264282,0.26193341357841277,0.4243407905273767,0.6170518999174476,-0.6741608381271362,-0.02882879041135311,2.0765050167224075,0.06453725699376964,3.458472865680721,0.7792127094772171,0.6325250836120402,3.2431318681318677,0.040556989561110444,4.014300564523107,0.7112832274776196,0.8795787545787546,1.096825396825397,0.04962683015593068,3.8134310891328713,0.7709724915607269,0.5571428571428572
hv3a3zmf,2.4174449526050488,0.11618552850017348,1.61545921802153,1.857389450517429,-1.68348,-1.1862016,-0.15153112,0.300079,0.6404283,1.1053042,1.8006568,3.9191678,1.4862806,5.88922,4.2057405,-0.29042944,1.0462624,-3.6024666,0.9645007848739624,2.8033366203308105,5120,3,0.8673828125,1706.6666666666667,14.02265625,27.41796875,29.8216796875,8.753608317107634,5.735129324960636,8.82253632345313,13.68775051357999,2.7579913395960705,11.690362137217521,1.4935822637101828,3072,2,0.8968098958333334,1536.0,13.33984375,28.433919270833332,30.423177083333332,8.628645122048571,5.09360894526001,7.956094317008911,12.794444322073034,3.1509939078114164,11.035744520232994,1.5859576664937605,1024,3,0.56640625,341.3333333333333,10.7607421875,30.5419921875,32.79296875,6.988857051525501,3.0618931694605163,2.629109390368426,8.070410699237685,2.837601120164926,7.1764719045567125,1.892791127538091,4.2057405,0.5337218,1.3182154,89.70193710120975,0.7469940185546875,4.2057405,0.47371754,1.5653404,74.33299580759987,0.7533851265907288,4.2057405,0.87094307,1.469449,72.82942517713106,0.7447950839996338,0.6657093033515364,0.584104449909361,0.10710338007134207,-1.0622304677963257,-0.20675134658813477,1.9226588628762542,0.045499526012013285,3.707774366708537,0.7590614111131248,0.6283444816053512,2.5334249084249083,0.04803121939110949,3.788425684208419,0.7591407250105309,0.6634615384615383,0.39259259259259255,0.04197362895775594,3.5356135177567483,0.8246560846560846,0.35767195767195764
8mdd4v30,2.388382406142042,0.10863027822359432,0.9209993780932353,-0.8426297710677049,-1.3981248,-0.6023779,-0.055473987,0.4726636,0.90620816,1.3380189,2.1052535,5.2051826,1.0750415,6.9596634,5.436911,-0.012262031,1.0556618,-86.09193,1.8679168224334717,7.514177322387695,5120,5,0.8634765625,1024.0,15.8189453125,24.2322265625,31.860546875,9.49715379140689,4.90855603881319,9.468661617458284,14.280945534163045,2.3548990115988166,11.488434627516144,1.6217928413045226,3072,3,0.6194661458333334,1024.0,15.402669270833334,24.8720703125,33.206380208333336,9.550116200208938,4.179591553914826,8.911222203937102,13.714356935816967,2.6951976175591987,11.196143255070842,1.6686583378589523,1024,2,0.6904296875,512.0,13.7568359375,26.0537109375,36.1171875,8.440419179531814,2.9761496430275263,2.5448971422915605,9.304549644595655,3.4463668684228477,8.455847076603796,1.957934990436027,5.436911,0.9793605,1.4189061,97.22163185577598,1.5608973503112793,5.436911,1.0393358,1.5915645,85.46599750248379,1.2531589269638062,5.436911,1.3310304,1.6070362,77.13921629832804,1.2517938613891602,0.19382581960204373,0.5357730435872683,0.5249621004312913,-1.415651798248291,0.47170665860176086,2.4138795986622075,0.038552246339526405,3.7846474245801085,0.7401449287499632,0.7458193979933111,3.4752747252747254,0.030447669699043327,4.1717683580074105,0.7133666072197896,0.8608058608058607,0.40476190476190477,0.045110999132163154,3.430648922181021,0.8287301587301588,0.35291005291005295
t9nt3w5u,2.7836692734631705,0.07083326601774115,0.3775310653613316,-1.0860481099704995,-1.1368431,-0.56484056,-0.053847574,0.50355744,0.7895291,1.0976026,1.5123384,2.4550972,1.068398,3.7323842,2.5153317,-0.030196968,0.75515,-25.007479,0.47228890657424927,0.4853672981262207,5120,4,0.9748046875,1280.0,10.4744140625,23.87421875,29.7203125,6.909807458229371,5.622447283180914,5.434975841928256,10.435339714848503,1.6586022096774058,7.4199078677821975,1.4459192318549998,3072,2,0.9866536458333334,1536.0,9.767252604166666,24.8974609375,29.750651041666668,6.7009839143640795,4.790490124871875,4.5170034191535375,9.394429250662641,1.8209245130152547,6.970025014555683,1.5786228160320768,1024,1,1.0,1024.0,9.1884765625,27.6396484375,29.6748046875,5.762268164350578,2.33268853769718,2.264430711288828,6.616102830066959,2.5859345701466103,5.776766842032518,1.809187279148747,2.5153317,0.6652081,0.702853,95.92274134066162,0.4683617651462555,2.5153317,0.5094492,0.9377988,80.07404093433017,0.2879171371459961,2.5153317,0.72632277,0.98229134,66.31929381910732,-0.011535724624991417,0.023000403796701648,0.6371165281200571,0.6898430669348024,-0.3405742943286896,-0.5941945910453796,1.831103678929766,0.02489511792373687,4.144383778490983,0.6936588429782684,0.7466555183946488,1.960164835164835,0.01805169799675294,4.542150070520979,0.6859712406356149,0.7916666666666667,1.17989417989418,0.01837126620195403,4.483338838452703,0.7190145154851036,0.6592592592592592
zbikcidk,2.7177231900706973,0.08093981901213622,1.2918992841067058,1.9113141534007658,-1.5312655,-0.847713,-0.11877422,0.41378945,0.72539896,0.94642925,1.2406162,2.343852,1.2615025,4.0435157,2.5122502,-0.21267404,0.8582277,-4.0354137,0.12856192886829376,-0.13278722763061523,5120,11,0.8822265625,465.45454545454544,14.18046875,21.0314453125,32.5146484375,8.870787368113016,5.693471063843371,8.365303404436615,13.456774588785162,1.8660886777620058,10.55062277701554,1.6737495913691816,3072,2,0.9173177083333334,1536.0,12.595377604166666,22.0537109375,32.980143229166664,8.732162890007459,3.945104169223698,8.271039081003389,12.657985745099218,2.686313981621215,10.519639092399713,1.6981757877270878,1024,3,0.578125,341.3333333333333,9.40625,23.384765625,34.76171875,8.333444009681712,2.79340782715635,6.540876531161434,10.95593365018321,3.4234523854874777,9.223507042688334,2.0237154150157632,2.5122502,0.41982162,0.94903487,84.85500903109043,-0.27766919136047363,2.5122502,0.41451117,1.0574799,73.49551740640005,-0.22899584472179413,2.5122502,0.7219529,0.9409315,68.39116452127172,-0.16377200186252594,0.375558584398274,0.6297818500245543,0.8865864789701513,-1.3742412328720093,-0.8085265755653381,3.6939799331103678,0.027743065653628034,4.158916244444074,0.7250745701094914,0.7876254180602007,7.20558608058608,0.027913945410511343,4.3328580548042455,0.7091642771342737,0.9894688644688645,0.5354497354497354,0.025216539290613363,3.9694731273444503,0.783068783068783,0.4507936507936508
wnnhj7xv,2.6596676036385762,0.08013862574386516,0.4136960076890943,-1.547509672437994,-1.4843683,-0.6754892,-0.078892395,0.44385925,0.80295336,1.072925,1.4384947,3.1828756,1.1193484,5.0426707,3.349766,-0.122328684,0.8939893,-7.3080926,0.4656997621059418,1.5616836547851562,5120,19,0.8392578125,269.4736842105263,15.033984375,25.291015625,31.0455078125,8.632221690402528,6.480415006464159,10.155340311949248,14.820322763683764,1.7456578253693993,11.182995845641575,1.782729805013307,3072,6,0.6461588541666666,512.0,14.5859375,25.9072265625,32.068033854166664,8.485306549918732,4.813533424293887,9.173224115081926,13.390988460095421,2.3229692016687755,10.787738068304845,1.7655172413782958,1024,3,0.7890625,341.3333333333333,13.322265625,27.7265625,35.3466796875,6.628511182154207,3.0515488990992345,2.730386146092692,7.7912848543941715,2.463554854494911,6.689221019852812,1.8652094717634513,3.349766,0.73030704,1.0254974,92.21518514908982,0.013476118445396423,3.349766,0.67655045,1.1508975,82.07799834227822,0.07321247458457947,3.349766,1.0424885,1.0674121,73.91779855451074,0.39294546842575073,0.11303633297782864,0.43424740760523933,0.7013710993424194,-2.1390581130981445,-0.6273810267448425,3.0915551839464883,0.02644003562599971,4.159721920706216,0.6687345437884866,0.8959030100334447,4.880952380952381,0.018658529733392375,4.508411650318993,0.6378120944624537,1.0677655677655677,0.4947089947089947,0.03130161529632429,3.7731953341365463,0.7716931216931217,0.46296296296296297
g0fn9xuy,2.4141615847055427,0.10720301370559496,0.9620826518491109,-0.713718163964951,-1.6457982,-0.73796415,-0.11589077,0.41699386,0.81909555,1.2567463,1.9917469,4.694943,1.154958,6.692411,5.0466127,-0.12599413,1.0661693,-8.462055,1.4269589185714722,5.336521148681641,5120,10,0.7990234375,512.0,15.51171875,24.0166015625,31.3017578125,9.645445987402471,5.239416207997086,11.012801359558576,15.548887557687728,2.5676591943950475,13.433668052227382,1.621279290689797,3072,2,0.8704427083333334,1536.0,14.512369791666666,24.581380208333332,32.735026041666664,9.495570683916483,3.9020250046215263,9.842911855818132,14.222326657454852,3.234570260834135,12.585567002653907,1.6392742796149204,1024,2,0.634765625,512.0,11.2314453125,25.1494140625,36.501953125,7.396165831349496,2.9007238537005287,2.1682177151528705,8.235207097611557,3.4821061580231074,7.41122088625612,1.9284369114841273,5.0466127,0.83147746,1.4149452,93.76150797635933,1.022408366203308,5.0466127,0.8119449,1.607135,82.10498286885301,1.0718672275543213,5.0466127,1.2203703,1.6206902,75.1396989411703,0.9977368116378784,0.24645656341606265,0.7037485199793817,0.6643083136762723,-1.12417733669281,-0.1551494598388672,1.6467391304347827,0.044388660361740925,3.6613010229725345,0.7572887459032452,0.6400501672240803,4.105769230769231,0.032193110232258584,4.127747996520477,0.6980845680688995,0.9372710622710623,0.3656084656084656,0.04536995044931553,3.3597432520644364,0.8229100529100529,0.3560846560846561
41ibljh7,2.4152437547292562,0.11346589426471018,1.401325228051006,0.8989451515046336,-1.7855861,-1.0994482,-0.12830666,0.35570902,0.6574886,1.0263643,1.6562552,4.0330586,1.4551573,6.0673685,4.281782,-0.27457124,1.0658249,-3.881779,0.8254300355911255,2.686232566833496,5120,5,0.975390625,1024.0,12.45625,24.1044921875,29.79296875,7.780035045711554,5.9649218201290335,4.394122203185004,10.74325591100179,1.9768635900844507,7.806131016624536,1.5121086828111305,3072,1,1.0,3072.0,12.2705078125,25.666015625,30.680338541666668,8.030544878413282,4.5167271590082265,3.256108664554907,9.772037602696884,2.4877583221825192,8.05450957577053,1.593360995849796,1024,2,0.58984375,512.0,12.267578125,26.759765625,30.7275390625,8.228350119982832,3.1273276243573136,2.2441293634807735,9.084164263548214,3.6933320743612064,8.274533836030312,1.9541984732787134,4.281782,0.5301678,1.2746652,92.83297553591933,0.7507047057151794,4.281782,0.45161474,1.515601,77.5542182415012,0.7089248299598694,4.281782,0.8715437,1.4627352,74.04496137324321,0.7675610780715942,0.2868319347680395,0.40266393643898446,0.7114688793097828,-1.2311770915985107,-0.46627187728881836,2.2767558528428093,0.04057438535363139,3.78375961608225,0.7335749008135167,0.7399665551839465,2.3466117216117217,0.04347846140428558,3.945008411165525,0.7362441779152733,0.7413003663003663,0.9444444444444444,0.03218722880098541,4.019676728101038,0.7551109674639087,0.5624338624338624
5lxo6qji,2.7112274847377216,0.07723289012411723,0.5699609885804681,-1.0263554879272792,-1.4152932,-0.7531773,-0.05509574,0.3669796,0.6685623,0.91680163,1.2494144,2.6097755,1.1201569,4.2106113,2.6979523,-0.15771319,0.8081658,-5.124275,0.3015110194683075,0.7111203670501709,5120,11,0.9517578125,465.45454545454544,12.0328125,23.03828125,29.3263671875,7.559122276418325,6.197758177026467,6.137226961048723,11.542014156210584,1.6641908823121798,7.775391111893483,1.5955126207536319,3072,4,0.9619140625,768.0,11.324869791666666,23.912109375,29.908854166666668,7.510751407269169,4.422667020178033,5.395445585126956,10.250961093245463,2.1303731822222085,7.822666026411618,1.5778120184891742,1024,3,0.5087890625,341.3333333333333,10.4814453125,25.5712890625,30.8037109375,6.522321009316529,2.539684231271256,2.911042067102925,7.580556263202756,2.8361870226394945,6.537116523455554,1.8450450450417206,2.6979523,0.5061464,0.83441263,94.07096661864736,0.12287399917840958,2.6979523,0.4764554,1.0032287,81.03572100332697,0.17607823014259338,2.6979523,0.77679086,0.9766384,69.80576517685095,0.010490280576050282,0.1518831521591827,0.436741240581234,0.9198447102283933,-1.0265774726867676,-0.9385506510734558,1.7244983277591976,0.02727737944765718,4.088403533382364,0.7181133335761235,0.6910535117056856,2.8777472527472527,0.021749503548954097,4.409398832483191,0.6987013654096021,0.8539377289377289,0.7851851851851852,0.023098037568937038,4.219497351322303,0.7302832244008715,0.5798941798941799
