uid,str_p50,str_p75,str_p90,str_p95,str_p97,str_p99,str_max,str_iqr,lp_mean,lp_std,lp_cv,lp_max,lp_med,lp_p75,lp_p90,lp_p95,lp_p99,lp_skew,lp_sbr,lp_gmean,lp_gmax,rp_mean,rp_std,rp_cv,rp_max,rp_med,rp_p75,rp_p90,rp_p95,rp_p99,rp_skew,rp_sbr,rp_gmean,rp_gmax,lc_mean,lc_std,lc_cv,lc_max,lc_med,lc_p75,lc_p90,lc_p95,lc_p99,lc_skew,lc_sbr,lc_gmean,lc_gmax,rc_mean,rc_std,rc_cv,rc_max,rc_med,rc_p75,rc_p90,rc_p95,rc_p99,rc_skew,rc_sbr,rc_gmean,rc_gmax,asym_put,asym_cau,pc_ratio_l,pc_ratio_r,min_pc_ratio,sum_put,sum_cau,put_cau_ratio
xaji0y6d,15.05632,21.982698,32.210747,38.085358,41.457718,46.959644,53.346317,8.626221,15.985968,4.40741,0.27570492,35.59283,14.40579,17.57572,21.887432,25.403898,30.84028,1.4914008378982544,15.985968,1.1895223,13.66383,19.705004,7.15328,0.36301845,39.625828,18.030537,24.884699,30.30464,33.119164,37.850693,0.737093448638916,19.705004,2.4679134,16.511698,15.70524,5.213721,0.3319733,36.04862,14.277762,17.371124,23.257982,26.825245,32.68299,1.2346714735031128,15.70524,1.4031862,16.40971,22.98969,11.835857,0.5148333,53.346317,17.698223,33.148777,41.41557,45.044193,50.171196,0.7104489803314209,22.98969,4.3488107,42.574577,0.10420103,0.18825336,1.0178747,0.8571235,0.8571235,35.69097,38.69493,0.9223681
pbhsahxt,25.551262,42.763313,64.84362,76.405464,81.63376,90.65166,101.46258,24.816658,25.431555,12.58472,0.49484664,80.201744,20.650047,28.427969,42.408127,54.353264,71.86561,1.9744350910186768,25.431555,3.0986822,19.61884,35.3643,14.15528,0.40027034,82.63732,32.636654,43.43105,55.347584,63.854877,77.04417,0.9091020822525024,35.3643,4.2287374,30.793427,22.551353,11.6134,0.5149758,77.966515,18.45749,25.408367,38.707413,48.653614,67.484505,2.0733022689819336,22.551353,2.723572,12.312321,46.58291,24.065847,0.516624,101.46258,44.31729,66.60838,81.496765,86.99671,96.5398,0.3288032114505768,46.58291,7.1285305,58.532837,0.16337866,0.34760702,1.1277175,0.759169,0.759169,60.795853,69.13426,0.87938815
hv3a3zmf,22.637604,33.891678,49.794697,59.363747,64.650154,72.06858,83.66845,14.270639,19.668507,2.8280265,0.14378451,36.99755,19.49517,20.390232,22.174488,24.347235,30.921093,1.807676911354065,19.668507,0.812093,5.00548,25.03163,6.7375317,0.26916072,48.439323,22.993668,28.37869,35.00566,39.497482,46.04365,1.1686992645263672,25.03163,1.7399888,10.462755,24.550318,7.024312,0.28611898,48.480957,22.338055,27.475197,34.86006,39.281982,46.89817,1.280130386352539,24.550318,1.8633885,16.775013,42.426533,15.732642,0.37082082,83.66845,40.991505,54.13054,64.48334,70.07498,77.27317,0.295992910861969,42.426533,4.985898,65.42781,0.119980015,0.2669014,0.8011508,0.58999944,0.58999944,44.700134,66.97685,0.6673968
8mdd4v30,23.653856,39.975563,60.929688,70.21466,75.89128,84.98986,95.55022,21.956503,27.269073,12.429252,0.4558003,70.617355,23.029808,32.56115,46.797077,54.700626,65.681366,1.3490968942642212,27.269073,3.3213172,21.592627,26.022034,10.096617,0.3880026,64.459465,22.794367,30.401743,41.9076,47.666237,58.292053,1.4011567831039429,26.022034,2.5660722,30.922869,30.96373,16.939438,0.54707354,73.86601,21.4615,42.59015,59.917355,65.74581,71.92456,1.017102837562561,30.96373,4.2320504,39.669586,38.92797,23.45808,0.6026022,95.55022,29.92804,59.28259,75.72273,82.00752,90.4988,0.6836310029029846,38.92797,7.4711967,80.243004,0.023400523,0.11395117,0.88067794,0.6684662,0.6684662,53.291107,69.8917,0.7624812
t9nt3w5u,23.10038,29.88205,37.49218,44.48627,49.4223,59.242355,69.43838,9.448553,21.549831,3.7982078,0.17625232,35.74221,20.634674,22.788475,27.082378,29.97799,33.82248,1.3057564496994019,21.549831,1.1198161,13.235207,27.466265,5.5813484,0.2032074,40.003445,26.167835,32.051914,36.27021,37.575882,39.024185,0.5035495162010193,27.466265,2.086044,16.216501,21.210655,2.4305394,0.11459049,29.03608,20.535002,22.43838,24.892633,26.025406,28.423918,0.9915302991867065,21.210655,0.6954802,3.8740044,33.977554,10.602172,0.31203458,69.43838,31.697302,39.416817,49.38048,55.422043,65.48757,1.0175786018371582,33.977554,3.3184023,37.150253,0.12070388,0.23133382,1.0159909,0.808365,0.808365,49.016098,55.18821,0.8881625
zbikcidk,19.95232,25.03498,32.738815,37.432625,40.544582,44.328987,49.322826,7.3161697,20.326408,2.7292898,0.1342731,29.722923,19.707012,21.540466,24.214386,26.113087,28.675388,0.9973114132881165,20.326408,0.73198664,8.304902,25.45491,5.52126,0.21690352,41.327484,24.857061,28.773699,33.271408,36.26626,39.906494,0.569383442401886,25.45491,1.7557524,21.71975,18.477438,3.4651287,0.18753296,30.45738,18.130486,19.774075,22.908232,25.656256,29.657585,1.032057523727417,18.477438,1.1615483,10.879954,24.67155,10.00949,0.4057098,49.322826,21.618011,32.85045,40.33046,43.24868,47.07817,0.6084101796150208,24.67155,3.2431278,24.09777,0.112021714,0.14355175,1.1000664,1.0317515,1.0317515,45.78132,43.148987,1.0610056
wnnhj7xv,12.795774,18.767761,28.359545,34.322155,38.070427,45.854385,55.674427,7.90012,11.477216,2.5839255,0.22513522,25.70803,10.876676,11.817575,14.872182,16.832775,21.798845,2.183816432952881,11.477216,0.66932905,7.8714056,15.556045,4.605921,0.2960856,28.927032,14.723101,18.491133,22.173075,24.195845,27.344261,0.7132480144500732,15.556045,1.4122427,12.674555,13.816736,3.8825693,0.28100482,27.212744,12.588794,15.121075,19.747904,22.549278,25.897156,1.3271152973175049,13.816736,0.896562,7.1672277,22.942135,10.984886,0.47880837,55.674427,21.785149,30.79719,38.02225,43.658516,50.69037,0.6227124333381653,22.942135,3.890518,45.530933,0.15088187,0.24825023,0.8306749,0.67805564,0.67805564,27.03326,36.758873,0.73542136
g0fn9xuy,13.657244,22.002195,35.753613,43.838913,47.796062,53.751274,62.703236,10.385578,14.0612955,5.571346,0.39621854,42.073845,12.272589,14.851378,20.870846,26.74845,36.333733,2.298710346221924,14.0612955,1.1351529,7.0894756,21.386877,8.99251,0.42046857,48.05409,18.772263,26.815998,35.396053,39.843567,45.330772,0.9076502323150635,21.386877,2.99175,21.750015,14.44089,5.7527604,0.39836603,41.580128,12.378819,15.023181,22.200203,27.551815,36.355877,2.2041547298431396,14.44089,1.4672527,11.234333,24.291864,14.505724,0.5971433,62.703236,17.587494,35.867077,47.51108,51.93081,57.76243,0.7990306615829468,24.291864,5.138139,52.566,0.20665611,0.2543319,0.9737139,0.8804132,0.8804132,35.448174,38.732754,0.9151989
41ibljh7,27.781376,41.883713,56.28733,62.696323,65.45763,70.23204,78.87754,21.399176,25.02236,9.730382,0.38886747,63.8851,21.221966,27.72536,39.555256,47.70152,59.120914,1.814387559890747,25.02236,2.1990552,9.679085,28.289717,10.662326,0.37689757,62.915504,25.246222,34.080044,44.01546,50.294212,58.676373,1.0443204641342163,28.289717,3.5052505,17.412952,30.904312,12.3761215,0.40046585,65.430626,26.605787,37.774963,51.15612,57.66896,63.767033,1.0139771699905396,30.904312,3.2270615,10.207321,43.581326,15.821145,0.36302578,78.87754,43.15616,56.483734,65.435776,68.898544,75.53787,0.12488976866006851,43.581326,5.1078515,29.980583,0.06128737,0.17019406,0.8096721,0.64912474,0.64912474,53.312077,74.48564,0.71573627
5lxo6qji,24.423477,32.712105,47.46322,56.920876,62.552677,69.31299,75.977196,11.610991,22.591915,3.5732737,0.15816604,35.58948,21.65823,24.134743,27.707293,30.13314,34.1075,1.2391926050186157,22.591915,1.0952061,7.4807243,28.704327,6.591818,0.22964545,48.45849,26.925095,33.076218,38.55015,41.583313,46.445183,0.7774580121040344,28.704327,2.2682002,17.84392,22.13988,4.053295,0.18307666,35.93339,21.451756,23.93724,27.756521,30.708614,34.79207,1.1633422374725342,22.13988,0.9790668,6.201439,40.77007,14.607432,0.35828814,75.977196,38.892975,51.915165,62.52312,66.88214,72.78702,0.41510647535324097,40.77007,4.514803,28.20636,0.11915905,0.29614058,1.0204172,0.70405394,0.70405394,51.29624,62.90995,0.81539154
